ref,source,kind,candidate_info
De_Rosa_2018,https://doi.org/10.1111/gcb.14444,crossref,"van Delden, Lona | Effect of urbanization on soil methane and nitrous oxide fluxes in subtropical A"
De_Rosa_2018,https://doi.org/10.1016/j.scitotenv.2017.09.333,crossref,"de Figueiredo, Cícero Célio | Relationships between soil organic matter pools and nitrous oxide emissions of a"
De_Rosa_2018,https://doi.org/10.1016/j.scitotenv.2017.08.186,crossref,"Luo, J. | Using alternative forage species to reduce emissions of the greenhouse gas nitro"
dougherty.8,https://doi.org/10.1016/j.scitotenv.2020.143790,crossref,"Singh, Bhupinder Pal | Nitrous oxide emissions from cow urine patches in an intensively managed grassla"
dougherty.8,https://doi.org/10.1071/sr15330,crossref,"Dougherty, Warwick J. | Nitrification (DMPP) and urease (NBPT) inhibitors had no effect on pasture yield"
dougherty.8,https://doi.org/10.15232/pas.2018-01769,crossref,"Parker, David B. | Enteric nitrous oxide emissions from beef cattle"
guangdi.76.auto,http://www.n2o.net.au/knb/metacat/guangdi.76/html,metacat,"Effect of nitrogen source and tillage on N2O Emissions. Wagga Wagga, New South Wales, 2012-2013 [Theme 1: Inhibitors for reducing emissions]"
guangdi.76.auto,https://doi.org/10.1071/sr17219,crossref,"Li, Guangdi D. | Does 3,4-dimethylpyrazole phosphate or N-(n-butyl) thiophosphoric triamide reduc"
guangdi.76.auto,https://doi.org/10.1071/sr15376,crossref,"Mielenz, Henrike | Nitrous oxide emissions from grain production systems across a wide range of env"
guangdi.76.auto,https://doi.org/10.1016/j.still.2020.104910,crossref,"Li, Guangdi D. | Can legume species, crop residue management or no-till mitigate nitrous oxide em"
kelly.30.33,https://doi.org/10.2134/jeq2019.01.0031,crossref,"Steusloff, Tyler W. | Urea Nitrapyrin Placement Effects on Soil Nitrous Oxide Emissions in Claypan Soi"
kelly.30.33,https://doi.org/10.2136/sssaj2011.0296,crossref,"Nash, Patrick R. | Nitrous Oxide Emissions from Claypan Soils Due to Nitrogen Fertilizer Source and"
kelly.30.33,https://doi.org/10.5539/jas.v7n12p1,crossref,"Zurweller, Brendan A. | Short-Term Soil Nitrous Oxide Emissions as Affected by Enhanced Efficiency Nitro"
Mumford_2019,https://doi.org/10.1016/j.agee.2018.11.011,crossref,"Mumford, M.T. | Effect of irrigation scheduling on nitrous oxide emissions in intensively manage"
Rowlings.34,https://doi.org/10.1007/s11104-012-1197-4,crossref,"Scheer, Clemens | Nitrous oxide emissions from irrigated wheat in Australia: impact of irrigation "
Rowlings.34,https://doi.org/10.17660/actahortic.2016.1123.14,crossref,"Scheer, C. | Effect of the nitrification inhibitor (DMPP) on soil nitrous oxide emissions and"
Rowlings.34,https://doi.org/10.1071/sr16091,crossref,"Grace, Peter | Emission factors for estimating fertiliser-induced nitrous oxide emissions from "
vanDelden_2018,,NONE,(no candidate found)
